2022-10-08 20:52:17 - __main__     - Tweet 38 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-13 17:47:14 - __main__     - Tweet 33 of 87 posted: That feeling you get when you take your bra off after a long day. I can agree with that.
2022-10-13 17:47:15 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:47:15 - __main__     - Tweet 11 of 87 posted: Ah, what I would not give for Karen Gillan to look me in the eye and say 'Cara mia'.
2022-10-13 17:47:16 - __main__     - Tweet 72 of 87 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
2022-10-13 17:47:16 - __main__     - Tweet 83 of 87 posted: It's a bit cold outside.
2022-10-13 17:47:17 - __main__     - Tweet 69 of 87 posted: I doubt Father could handle a trip to France. I can hear "Tish, that's French!" from half an acre away.
2022-10-13 17:47:17 - __main__     - Tweet 66 of 87 posted: I hate it when I want a lie in and something wakes me up.
2022-10-13 17:47:18 - __main__     - Tweet 9 of 87 posted: Woe to the Republic.
2022-10-13 17:47:18 - __main__     - Tweet 76 of 87 posted: I think I'm the most prepared in the Addams clan.
2022-10-13 17:47:19 - __main__     - Tweet 17 of 87 posted: On Wednesdays, we wear black.
2022-10-13 17:47:19 - __main__     - Tweet 83 of 87 posted: It's a bit cold outside.
2022-10-13 17:47:20 - __main__     - Tweet 65 of 87 posted: Could you imagine if Uncle Fester went to an anime convention? They'd say One Punch Man let himself go.
2022-10-13 17:47:20 - __main__     - Tweet 13 of 87 posted: Remind me to ask Cousin Itt if that's a relative of his next to Han Solo.
2022-10-13 17:47:21 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:47:21 - __main__     - Tweet 52 of 87 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-13 17:47:22 - __main__     - Tweet 86 of 87 posted: Ask me to write something down in a hurry and you can guarantee that in a week's time, I'll need the Rosetta Stone just to read what the fuck I've written.It's warmer than I expected it to be today. All that's missing is a blanket, a girlfriend, and some nice horror films.
2022-10-13 17:47:22 - __main__     - Tweet 48 of 87 posted: Chloë Grace Moretz voiced me well.
2022-10-13 17:47:23 - __main__     - Conditional Tweet 4 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:48:19 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:19 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:20 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:20 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:21 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:21 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:22 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:22 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:23 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:23 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:24 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:24 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:25 - __main__     - Tweet 7 of 87 posted: Where's a thunderstorm when you need one?
2022-10-13 17:48:32 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:32 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:32 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:32 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:33 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:33 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:33 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:33 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:34 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:34 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:34 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:34 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:48:35 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:35 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:35 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:35 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:48:36 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:36 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:36 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:36 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:48:37 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:37 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:37 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:37 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:38 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:38 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:48:38 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:38 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:39 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:39 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:48:39 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:39 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:48:40 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:40 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:48:40 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:40 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:48:41 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:41 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:48:41 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:41 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:48:42 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:42 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:48:42 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:42 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:48:43 - __main__     - Tweet 6 of 87 posted: Why do I have ['Primo Victoria', 'Hooked on a Feeling', "Ain't No Mountain High Enough", 'Hard Rock Hellelujah', 'Dragostea Din Tei'] stuck in my head all of a sudden?
2022-10-13 17:48:43 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:36 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:36 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:37 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:37 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:37 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:37 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:38 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:38 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:38 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:38 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:39 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:39 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:39 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:39 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:40 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:40 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:40 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:40 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:41 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:41 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:41 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:41 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:42 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:42 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:42 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:42 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:49:43 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:43 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:43 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:43 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:49:44 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:44 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:44 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:44 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:45 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:45 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:45 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:45 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:49:46 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:46 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:46 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:46 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:47 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:47 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:47 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:47 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:48 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:48 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:48 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:48 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:49:49 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:49 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:50 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:50 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:50 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:50 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:51 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:51 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:51 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:51 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:52 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:52 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:52 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:52 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:49:53 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:53 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:53 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:53 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:54 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:54 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:54 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:54 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:55 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:55 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:49:55 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:55 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:56 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:56 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:56 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:56 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:57 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:57 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:57 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:57 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:58 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:58 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:49:58 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:58 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:49:59 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:59 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:49:59 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:49:59 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:00 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:00 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:00 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:00 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:01 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:01 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:01 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:01 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:02 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:02 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:02 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:02 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:03 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:03 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:50:03 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:03 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:04 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:04 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:50:04 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:04 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:05 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:05 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:05 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:05 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:50:06 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:06 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:06 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:06 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:50:07 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:07 - __main__     - Conditional Tweet 2 of 5 posted: It's Halloween. Finally.
2022-10-13 17:50:07 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:07 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:08 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:08 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
2022-10-13 17:50:08 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:08 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:50:09 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:09 - __main__     - Conditional Tweet 5 of 5 posted: Thank goth it's Wednesday. The best day of the week, though I may be a bit biased on that one.
2022-10-13 17:50:09 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:09 - __main__     - Conditional Tweet 4 of 5 posted: October. The best month of all.
2022-10-13 17:50:10 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:10 - __main__     - Conditional Tweet 1 of 5 posted: I'm quite enjoying Wednesday.
2022-10-13 17:50:10 - __main__     - Tweet 6 of 87 posted: Why do I have Ain't No Mountain High Enough stuck in my head all of a sudden?
2022-10-13 17:50:10 - __main__     - Conditional Tweet 3 of 5 posted: Halloween's not for some time yet. Still, another year closer to death's cold embrace.
